Date	Selector	Album	Artist
2018-06-03	@Isperia_	Poutatorvi	Poutatorvi
2018-06-10	@xpollen8	First Album	Mo
2018-06-17	@saucer	Come Play The Trees	Snapped Ankles
2018-06-24	@JimMcCauley	Confident Music for Confident People	Confidence Man
2018-07-01	@emmaprice	All Nerve	The Breeders
2018-07-08	@ohmyliver	One Two	Sister Nancy
2018-07-15	@Har_Shone	Brutalism	Idles
2018-07-22	@thejayarr	Twin Fantasy (Face to Face)	Car Seat Headrest
2018-07-29	@zbendr	Whereabouts	The Frowning Clouds
2018-08-05	@mutster101	Dos Dedos Mis Amigos	Pop Will Eat Itself
2018-08-12	@SimonLandmine	The Old Magic	The Mighty Sieben
2018-08-19	@akx	No Way Down / On Trade Winds	Air France
2018-08-26	@holette	Whale City	Warmduscher
2018-09-02	@nessiest	Dark Night Of The Soul	Sparklehorse & Danger Mouse
2018-09-09	@wojsvenwoj	-	-
2018-09-16	@faberfedor	Arular	M.I.A
2018-09-23	@Har_Shone	Paris 1919	John Cale
2018-09-30	@jimmmccauley	Fear of Pop Volume 1	Fear of Pop
2018-10-07	@ohmyliver	Songs Our Daddy Taught Us	Everly Brothers
2018-10-14	@AngelaKlaus	Unorthodox Behaviour	Brand X
2018-10-21	@Har_Shone	Rock Art and the X-Ray Style	Joe Strummer & The Mescaleros
2018-10-28	@kleptones	Remain In Light	Angelique Kidjo
2018-11-04	@EastVanHalen	Malleus Trio	Malleus Trio
2018-11-11	@saucer	On the Street of Dreams	the space lady
2018-11-18	@akx	Six Cups of Rebel	Lindstrom
2018-11-25	@xpollen8	All Champs Go To Heaven	Champs Élysées
2018-12-02	@nessiest	Aromanticism	Moses Sunney
2018-12-09	@Mutster101	Micro-Phonies	Cabaret Voltaire
2018-12-16	-	Holidays	-
2018-12-23	-	Holidays	-
2018-12-30	Everyone!	#festivevortex2018	<3
2019-01-06	@SamQuitter	Before the Poison	Marianne Faithfull
2019-01-13	@emmaprice	Monsters Exist	Orbital
2019-01-20	@SimonLandmine	Hypocrisy Is The Greatest Luxury	The Disposable Heroes Of Hiphoprisy
2019-01-27	@JimMcCauley	Crash and Burn	Eat Static
2019-02-03	@kleptones	King Of Cowards	Pigs Pigs Pigs Pigs Pigs Pigs Pigs
2019-02-10	@xpollen8	Finder	Wolfgang Tschegg
2019-02-17	@brainspiritus	Pentalogy	Mardi.bb
2019-02-24	@Har_Shone	Holiday Destination	Nadine Shah
2019-03-03	@wojsvenwoj	The Glass Intact	Sarge
2019-03-10	@miss_s_b	The Fat of the Land	The Prodigy
2019-03-17	@akx	It's All About The Stragglers	The Artful Dodger
2019-03-24	Everyone!	#GETSHITDONEVORTEX	-
2019-03-31	@faberfedor	Tales of the Forgotten Memories	Wax Tailor
2019-04-07	@SimonLandmine	The Widest Walk	Philip Jeays
2019-04-14	@ohmyliver	Raggamuffin Soundtape	Shy FX
2019-04-21	@wojsvenwoj	Henryk Gorecki's Symphony Of Sorrowful Songs	Beth Gibbons & The Polish National Radio Symphony Orchestra
2019-04-28	@saucer	Toward the Shadow	Wume
2019-05-05	@Holette	The Delta Sweete / Revisited	Bobbie Gentry / The Mercury Rev
2019-05-12	@EastVanHalen	Mo Hippa	Jon Cleary & the Absolute Monster Gentlemen
2019-05-19	@JimMcCauley	Your Mind, Our Marketplace	The Private Sector
2019-05-26	@EmmaPrice	Wild Nights	Pins
2019-06-02	@nessiest	House In The Tall Grass	Kikagaku Moyo
2019-06-09	@kleptones	Anchor	Norma Waterson with Eliza Carthy and Martin Carthy
2019-06-16	@akx	To Believe	The Cinematic Orchestra
2019-06-23	@brainspiritus	Beautiful Morning	Die Happy
2019-06-30	@FaberFedor	Nothing Shocking	Jane's Addiction
2019-07-07	@ohmyliver	I Have to Feed Larry's Hawk	Tim Presley's White Fence
2019-07-14	@wojsvenwoj	Cost of Living	Downtown Boys
2019-07-21	@simonlandmine	The Race for Space	Public Service Broadcasting
2019-07-28	@holette	No. 1 in Heaven	Sparks
2019-08-04	@saucer	Sem Nostalgia	Lucas Santtana
2019-08-11	@holette	Everything is Everything	Donny Hathaway
2019-08-18	@kleptones	Don't Look Away	Alexander Tucker
2019-08-25	@xpollen8	Traversa	Geotic
2019-09-01	@ohmyliver	Hoodies All Summer	Kano
2019-09-08	@Jonny_Pigg	Dope On Plastic 4	Various Artists
2019-09-15	@SimonLandmine	Knock on Wood	The Young Gods
2019-09-22	@brainspiritus	Mad Dog Blues	The Hamburg Blues Band
2019-09-29	@EmmaPrice	Trust In The Lifeforce Of The Deep Mystery	The Comet Is Coming
2019-10-06	@NeilPBardhan	Your Body Will Become An Anchor	Ah Holly Fam'ly
2019-10-13	@nessiest	Ghosteen	Nick Cave & The Bad Seeds
2019-10-20	@zbendr	Gallipoli	Beirut
2019-10-27	@SimonLandmine	Shake The Chains	Greg Russell
2019-11-03	@JimMcCauley	ASIP's Portals: The KLF's Chill Out (A New Dimension)	-
2019-11-10	@ohmyliver	Doin' It	Spanky Wilson
2019-11-17	@eastvanhalen	Soul of a Nation - Jazz Is The Teacher, Funk Is The Preacher	-
2019-11-24	@adam_steinert	We Free Kings	Adam Steinert
2019-12-01	@xpollen8	Accidentally Acquired Beliefs	Bob Wiseman
2019-12-08	@holette	Joia!	Carwyn Ellis & Rio 18
2019-12-15	@faberfedor	Santana	Santana III
2019-12-22	-	Holidays	Holidays
2019-12-29	Everyone	#festivevortex	#festivevortex
2020-01-05	@brainspiritus	High and Mighty	Gov't Mule
2020-01-12	@xpollen8	(various)	Ebony Rhythm Funk Campaign, Vanguards, and Funk St Workshop
2020-01-19	@mrtorture	Gravity	Anekdoten
2020-01-26	@SimonLandmine	2 Pie Island	2 Bit Pie
2020-02-02	@emmaprice	Bentley Rhythm Ace	Bentley Rhythm Ace
2020-02-09	@har_shone	<|'_'|>	Caravan Palace
2020-02-16	@kleptones	The Queen is Dead	The Smiths
2020-02-23	@akx	Small Change	Tom Waits
2020-03-01	@unmannedfuture	Heron Oblivion	Heron Oblivion
2020-03-08	@eastvanhalen	live in Louisville 1978	Bootsy Collins' Rubber Band
2020-03-15	@wojsvenwoj	Pink World	Planet P Project
2020-03-22	@faberfedor	Days of The New	Days of The New
2020-03-29	@rougeforever & @mrhig	Up	REM
2020-04-05	@samquitter	Abbey Road	The Beatles
2020-04-12	@nessiest	Life's Too Good	The Sugarcubes
2020-04-19	@zbendr	Dusty Trails / Bon Bon Lifestyle	Dusty Trails / The Josephine Wiggs Experience
2020-04-26	Everyone	#secretkleptonesvortex	#secretkleptonesvortex
2020-05-03	@JimMcCauley	Nursery Cryme	Genesis
2020-05-10	@ohmyliver	Retro Techno: Detroit Definitive	Various
2020-05-17	@Holette	Shortly after Takeoff	BC Camplight
2020-05-24	@akx	The ArchAndroid	Janelle Monae
2020-05-31	@xpollen8	Frank Orrall and Poi Dog Pondering live in San Francisco in 1996	Frank Orrall and Poi Dog Pondering
2020-06-07	@mrtorture	After Chaban	Simon Fuga
2020-06-14	@brainspiritus	Mourning In America And Dreaming in Color	Brother Ali
2020-06-21	@SimonLandmine	Strange Days: music from the motion picture	Various
2020-06-28	@kleptones	Rough and Rowdy Ways	Bob Dylan
2020-07-05	@saucer	Peace & Information	Jenny O
2020-07-12	@wojsvenwoj	My Halo At Half-Light	Snakefarm
2020-07-19	@unmannedfuture	Live Through This	Hole
2020-07-26	@FaberFedor	Throwing Copper	Live
2020-08-02	@AngelaKlaus	Wild Seed - Wild Flower	Dionne Farris
2020-08-09	@zbendr	Beauty & Ruin	Bob Mould
2020-08-16	@kleptones	Every Man And Woman Is A Star	Ultramarine
2020-08-23	@JimMcCauley	Never Never Land	UNKLE
2020-08-30	@emmaprice	Leftism	Leftfield
2020-09-06	@nessiest	Billy Nomates	Billy Nomates
2020-09-13	@ohmyliver	A selection of tracks from The Adventure Time Soundtrack volumes 1 to 5	Various
2020-09-20	@EastVanHalen	RTJ4	Run The Jewels
2020-09-27	@holette	Kiwanuka	Michael Kiwanuka
2020-10-04	@xpollen8	A selection	Judee Sill
2020-10-11	@simonlandmine	Pop Up Jim Bob	Jim Bob
2020-10-18	@unmannedfuture	Brighten The Corners	Pavement
2020-10-25	@samquitter	The Pleasure Principle	Gary Numan
2020-11-01	@akx	Bunch One	Selo i Ludy
2020-11-08	@saucer	King Kong	original 1961 South Africa stage cast recording
2020-11-15	@NeilPBardhan	Fang Island	Fang Island
2020-11-22	@brainspiritus	Here Today, Gone Tomorrow	Larry Garner
2020-11-29	@wojsvenwoj	Die Die Lullabye	Night Club
2020-12-06	@faberfedor	A Trick of the Tail	Genesis
2020-12-13	@kleptones	We're New Again - A Re-Imagining by Makaya McCraven	Gil Scott-Heron
2020-12-20	@ohmyliver	Funky Christmas	James Brown
2020-12-27	Everyone	#festivevortex2020	Various
2021-01-03	@zbendr	Heard It In A Past Life	Maggie Rogers
2021-01-10	@AngelaKlaus	The Above Ground Sound Of Jake Holmes	Jake Holmes
2021-01-17	@faberfedor	Freak Out!	Frank Zappa and The Mothers of Invention
2021-01-24	@JimMcCauley	Never For Ever	Kate Bush
2021-01-31	Everybody	#weirdjanuaryvortex	how weird
2021-02-07	@emmaprice	We Will Always Love You	The Avalanches
2021-02-14	@doctorx34	Mirrored	Battles
2021-02-21	@nessiest	Vol. 4: Ethio Jazz 1969-1974	Mulatu Astatke
2021-02-28	Everybody	#coversvortex	duck and cover
2021-03-07	@holette	Quiet Signs	Jessica Pratt
2021-03-14	@saucer	“Sweet Princess” and “Boundary Road Snacks and Drinks”	Dry Cleaning
2021-03-21	@kleptones	Vexillology	Guedra Guedra
2021-03-28	Everybody	#nonenglishvortex	mais oui
2021-04-04	@wojsvenwoj	Black Christ Of The Andes	Mary Lou Williams
2021-04-11	@myemuisemo	The Remains (1991 Epic reissue)	The Remains
2021-04-18	@corin_ja	Curtis/Live!	Curtis Mayfield
2021-04-25	Everybody	#namethattimethatisn't4/4vortex	Sequenced by @jimmmccauley
2021-05-02	@iamwahl	Wicked Men	Edward II
2021-05-09	@simonlandmine	Anima Animus	The Creatures
2021-05-16	@ohmyliver	Cherry Moon On Valium (mix)	Soulwax
2021-05-23	@akx	Beat Space Nine	m-flo
2021-05-30	VORTEX	#animalvortex	moo!
2021-06-06	@holette	The Clock Comes Down The Stairs	Microdisney
2021-06-13	@jimmmccauley	I Robot	Alan Parsons Project
2021-06-20	@unmannedfuture	Blank Face	Schoolboy Q
2021-06-27	VORTEX	#livevortex	r than you'll ever be
2021-07-04	@zbendr	Breakfast In America	Supertramp
2021-07-11	@faberfedor	Captured Live	Charlie and the Nightcats
2021-07-18	@EastVanHalen	Latin Playboys	Latin Playboys
2021-07-25	VORTEX	#relationshipadvicevortex	heartbreak
2021-08-01	@brainspiritus	Lord of the Harvest	Zillatron
2021-08-08	@wojsvenwoj	Sybil Vane	Sybil Vane
2021-08-15	@zensolo	¿Tu Querias Boogaloo? ¡Toma Boogaloo!	-  El Gran Combo de Puerto Rico
2021-08-22	@saucer	The Practice of Love	Jenny Hval
2021-08-29	VORTEX	#unseenplacesvortex	where are we???
2021-09-05	@nessiest	Western Spaghetti	Blood Wizard
2021-09-12	@kleptones	Children Of The Night	Nash The Slash
2021-09-19	@ohmyliver	Fire	The Bug
2021-09-26	VORTEX	#stoaaotmmvortex	No Maggie Mae here
2021-10-03	@emmaprice	Deuce	Rory Gallagher
2021-10-10	@corin_ja	Unifactor	Gel-Sol
2021-10-17	@myemuisemo	Terraform	Randy Vanwarmer
2021-10-24	@unmannedfuture	Stateless	Dirty Beaches
2021-10-31	VORTEX	#evenscariervortex	it's spooky time
2021-11-07	@samquitter	Smash Hits Vol 1 + 2	Lynks
2021-11-14	@SimonLandmine	The Counterweight	Thea Gilmore
2021-11-21	@akx	Wintermusik	Nils Frahm
2021-11-28	VORTEX	#christmasvortex	merry folks
2021-12-05	@kleptones	This Is A Mindfulness Drill - A re-imaginging of Richard Youngs' 'Sapphie'	The Hypnotic Brass Ensemble
2021-12-12	@iamwahl	The Way I Feel	Remy Shand
2021-12-19	@holette	FabricLive66	Daniel Avery
2021-12-26	Holidays!	-	-
2022-01-02	VORTEX	#festivevortex2021	GET FESTY
2022-01-09	@wojsvenwoj	Heaux Tales	Jazmine Sullivan
2022-01-16	@saucer	Social Music at Troost vol3: (Other) People's Music	75 Dollar Bill
2022-01-23	@Andrew_Oleksiuk	Con Todo El Mundo	Khruangbin
2022-01-30	VORTEX	#moshpitvortex	\,,/
